,T-FAP_1_corr,T-FAP_1_qval
Svopl,0.11562388391253094,4.659592061058588e-12
Trpm3,0.11558819391749808,4.735272844293681e-12
Rgs17,0.11531482115788713,5.367304511966666e-12
Pygb,0.11530107810322766,5.398769138541511e-12
Timp3,0.11520140754206282,5.648947784840057e-12
Med13l,0.11493714129078382,6.3626372785006236e-12
Rdh5,0.11459540623637733,7.430424649607593e-12
Bcl3,0.11453482927837065,7.633285134064026e-12
Gm42397,0.11374978651674957,1.0867404016619698e-11
Cyp7b1,0.11366175915429619,1.1303530097659524e-11
Cdkn1b,0.11326086188653686,1.3480896876759772e-11
Fxyd1,0.11316032702010863,1.4084744861752138e-11
Grb14,0.1131203152610671,1.4329221044469477e-11
Erf,0.1130443374725649,1.4803362653641654e-11
Zfhx4,0.11302037259540863,1.495819986934633e-11
Dleu2,0.11298993636726802,1.5159347505969947e-11
Rap2a,0.11249829058579451,1.886305237729199e-11
Sh2d4b,0.11232341598649281,2.0367799461618958e-11
Plxnd1,0.11228574470066523,2.067473635484845e-11
Col4a3,0.11219783050442698,2.1469874272978862e-11
Gstm2,0.11212006418268289,2.2204542464127998e-11
Sh3bp5,0.11154207391598178,2.8633608852957723e-11
A830019P07Rik,0.11102156758677775,3.59188753067597e-11
Sat1,0.11073638328587071,4.0771635962461884e-11
Hspb2,0.11064699797836565,4.232391655102893e-11
Plac8,0.11061485905202625,4.291397159256513e-11
Gprasp2,0.11029800721289867,4.915083848207281e-11
Nfix,0.11017066607655009,5.1884772329905324e-11
Adam33,0.11005864132735776,5.4395807460667065e-11
Ddr2,0.11001698170790652,5.538423036040766e-11
Slc5a3,0.1099892787050068,5.598380163906078e-11
Cacna1a,0.10971762283730901,6.302896164737415e-11
Cpxm2,0.1096888266328183,6.377314099516746e-11
Gm50143,0.10917842564715756,7.935081550196842e-11
Gm29683,0.10900477683027451,8.544607671861216e-11
Parp14,0.10892003385797352,8.860460290001727e-11
Sele,0.10871067614232507,9.68538534563949e-11
Trac,0.10854239978742417,1.040685407493604e-10
Mgat4a,0.1083600551117959,1.1244267647701673e-10
Atp1a4,0.10830631626994977,1.1506149652120405e-10
Gpr88,0.10821202786188376,1.1966605324621835e-10
Erp27,0.10800872024322478,1.3038866586477995e-10
Arih1,0.10778548380113853,1.4314533662537978e-10
Slc7a2,0.10773400011877234,1.461721113155485e-10
Fem1b,0.10760401008168825,1.543706540570544e-10
Nav2,0.10745788919006419,1.6416479898719348e-10
Dhdh,0.10740768057000548,1.6753331545473447e-10
Dab2,0.10732802760320445,1.7325341549039093e-10
Ifitm1,0.10722365787844931,1.8109406987697521e-10
Pea15a,0.10675341392806194,2.2051057438545717e-10
Lifr,0.1067486101202652,2.2085946513952768e-10
Ythdc1,0.10671567629436948,2.2387931321513377e-10
Tnrc18,0.10666859068073976,2.2816624589340536e-10
Cntn6,0.10660367988050544,2.3429497727862126e-10
Fnbp1,0.10658824866772719,2.357423880344222e-10
Gria3,0.10636793283003725,2.5792631271343733e-10
Maml3,0.10615446892490357,2.8159455078320517e-10
Plekha4,0.10610891857648633,2.8701193582444007e-10
Calml4,0.10606960745413442,2.916082980835416e-10
Sema5b,0.1060436531435213,2.9472812169359794e-10
Ankrd28,0.10592078023981508,3.102068219950066e-10
Fgd4,0.10582796789630088,3.226202935921774e-10
Ntf3,0.10578263824190638,3.286181516137527e-10
Meox2,0.1056553093363832,3.46382967144802e-10
Ccl8,0.1056507151922453,3.4656218349352683e-10
Lif,0.10563542522954782,3.484388954467532e-10
Colec11,0.10554366800842362,3.620078271837157e-10
Sh3pxd2a,0.10545259078362142,3.7548992263337603e-10
Nop58,0.10543601714114526,3.779236540170142e-10
Fam13a,0.10515927412181196,4.239519552677998e-10
Scarb1,0.105095527868238,4.3455608865089763e-10
Mycbp2,0.10504496410679112,4.4335606920181814e-10
Hoxa3,0.10500527096447303,4.5067659017089655e-10
Asap3,0.1049873751937343,4.536812967593879e-10
Arhgap20,0.1048008624893008,4.898562541514932e-10
Glt8d2,0.1047247891655415,5.046993916959015e-10
Nrk,0.10465813304331817,5.181600648256533e-10
Gm12296,0.10461707172881825,5.267417249593821e-10
Fbln5,0.10450046644767048,5.520534941305505e-10
Hfe,0.10446066724824941,5.608846957324927e-10
Layn,0.10417029617132013,6.318745316936532e-10
Dock6,0.10416030286088472,6.339452992348461e-10
Pde12,0.10410779143952474,6.469053047157539e-10
Lgr5,0.10405947848700084,6.597509235831008e-10
Fth1,0.10405884676955998,6.597509235831008e-10
Gk5,0.10388181509528499,7.090658705980039e-10
Col6a6,0.10371535126826607,7.593124540953523e-10
Cx3cl1,0.1035369237408144,8.167345232973916e-10
Spry4,0.10321709265608056,9.296732579681819e-10
Cnr1,0.10280564028389011,1.0983972182146192e-09
Rpl30,0.10264903364713272,1.1684659580481623e-09
Fcgrt,0.10242594844851514,1.277607172065362e-09
Map3k8,0.10223958116451652,1.3736991363565978e-09
Angpt1,0.10223754181306487,1.3736991363565978e-09
Armh4,0.10203988591566343,1.4844534418536741e-09
Mme,0.1019180762912087,1.5602278421489383e-09
Dusp1,0.10171593235649082,1.686498200847769e-09
Kat2b,0.10167631432492394,1.7126627514454324e-09
C4b,0.10151060775237711,1.8267626778097065e-09
Grina,0.10125888100458737,2.019071018693939e-09
Gm10605,0.10122404252751731,2.0462534228574218e-09
Celf2,0.1011747738876893,2.0851468295689394e-09
Ninl,0.10110281759070588,2.144570334907819e-09
Stom,0.10095153156506136,2.2752586546283152e-09
