,TSPC_corr,TSPC_qval
Tex2,0.045798018635456864,0.014378564562408097
Tbl3,0.04578037763077738,0.014426243308844174
Ptar1,0.045778271257569066,0.014429787696058401
Ddx46,0.045754975363709476,0.014488850311331961
Abcb8,0.04575053213814967,0.014499087264872234
Rcn2,0.04574844482911274,0.014502593817747749
Iws1,0.0457465816469389,0.014505460507720036
Knstrn,0.04574499665970095,0.014507532396240789
Aknad1,0.045724319106219824,0.01456430527444518
Ttc36,0.04571615535242871,0.014585278170597257
Ttll1,0.04571123211156562,0.014596956909056685
Nat14,0.045696371826358086,0.014634784660316461
Katnbl1,0.045693650162091336,0.014637670136109017
1810008I18Rik,0.04569057211976742,0.014642378727932281
Fbxo32,0.04568450419975543,0.014654126986945511
Eif3i,0.04568359162638982,0.014654279577473997
Ino80,0.04567581791363442,0.014671759118140339
Rrp8,0.04567046837330263,0.014684733833628017
Ccdc167,0.04566105302641545,0.014709485655619204
2900076A07Rik,0.045643878986335706,0.014756786745941688
Raly,0.0456286268289369,0.014798629078010474
Mcm5,0.045620809441984427,0.014813886094144399
Ccdc107,0.0456199278188943,0.01481395128205071
Ikbip,0.04560461307376326,0.014853611426663185
Tor1aip2,0.04560369225590868,0.014853791755222256
Scrn3,0.045587360537228803,0.014896525019756862
Rnpep,0.04557929894126494,0.014917489709120376
