source,target,ligand_complex,receptor_complex,rank_innervated,rank_denervated,delta_rank
Smooth_muscle,Stromal,Vim,Cd44,9.406447649925698e-06,0.0003518910244339625,0.0003424845767840368
Tenogenic-progenitor,Macrophage,Col1a2,Cd93,9.495068435893e-06,2.2458849462624695e-06,-7.24918348963053e-06
Macrophage,T-FAP,Apoe,Sdc2,9.585041151575129e-06,8.549112747801221e-05,7.590608632643708e-05
Stromal_other,Smooth_muscle,Col1a2,Cd44,9.645069745420194e-06,5.8274279444433506e-05,4.862920969901331e-05
Tenocyte,Tenogenic-progenitor,Col1a2,Cd44,9.654751499000832e-06,1.2769603841051296e-05,3.1148523420504643e-06
Stromal,TSPC,Sparc,Fgfr1,9.816211050894804e-06,1.1614802678619535e-06,-8.654730783032851e-06
T-FAP,Macrophage,Col1a1,Cd93,1.0144498586426819e-05,2.3062288225467994e-06,-7.838269763880019e-06
Macrophage,Stromal_other,Apoe,Sdc2,1.0196619267057303e-05,0.00013014816105875264,0.00011995154179169533
T-FAP,Macrophage,Dcn,Tlr2,1.0311346049230532e-05,4.096941153443372e-06,-6.21440489578716e-06
TSPC,Smooth_muscle,Col1a2,Cd44,1.0480008959151703e-05,5.8579730044716536e-05,4.8099721085564836e-05
Stromal_other,Endothelial,Sparc,Eng,1.0511908263872004e-05,3.129307209537759e-05,2.0781163831505582e-05
TSPC,TSPC,Sparc,Fgfr1,1.0565024249353845e-05,1.7113404153971693e-06,-8.853683833956676e-06
Stromal_other,Smooth_muscle,Lgals1,Itgb1,1.0833616047103514e-05,1.8564659989185096e-05,7.731043942081583e-06
TSPC,T-FAP,Fn1,Cd44,1.089873349909501e-05,0.00017544088706956016,0.00016454215357046515
Tenogenic-progenitor,Tenogenic-progenitor,Col1a2,Cd44,1.108476634149851e-05,1.9113161855817382e-05,8.028395514318872e-06
Stromal,Macrophage,Fn1,Cd44,1.1228228434524462e-05,9.911066562199191e-05,8.788243718746744e-05
Tenogenic-progenitor,Tenocyte,Col1a1,Cd44,1.126171922676762e-05,3.3875631149219276e-05,2.2613911922451657e-05
Tenogenic-progenitor,TSPC,Timp2,Cd44,1.1294912545050926e-05,6.230318324985518e-05,5.100827070480425e-05
Stromal,Stromal_other,Vim,Cd44,1.1564283150100702e-05,0.00015549985595097803,0.00014393557280087732
T-FAP,Tenogenic-progenitor,Col1a1,Cd44,1.1712299498794672e-05,1.9741490085576647e-05,8.029190586781975e-06
T-FAP,TSPC,Col3a1,Ddr2,1.180383066213204e-05,1.2492735417961842e-06,-1.0554557120335856e-05
T-FAP,Macrophage,Fn1,Cd44,1.2115774925457216e-05,0.000106576228810104,9.446045388464679e-05
Tenocyte,TSPC,Col1a1,Ddr2,1.2174712867328836e-05,6.530901726294354e-07,-1.15216226946994e-05
T-FAP,Macrophage,Col1a2,Cd93,1.2649111265347503e-05,2.9341777739155375e-06,-9.714933491431966e-06
Tenocyte,Stromal,Fn1,Cd44,1.282938504522713e-05,6.934794837259062e-05,5.651856332736349e-05
Stromal,Macrophage,Col1a1,Cd93,1.3135646570715993e-05,2.5911512236577957e-06,-1.0544495347058198e-05
T-FAP,T-FAP,Col3a1,Ddr2,1.3333693037069824e-05,4.008341583072422e-06,-9.325351453997401e-06
Tenocyte,T-FAP,Col1a1,Ddr2,1.3433456630023005e-05,2.525919184512694e-06,-1.090753744551031e-05
Tenocyte,Smooth_muscle,Timp2,Itgb1,1.3951367477994681e-05,5.681222259444719e-06,-8.270145218549963e-06
Stromal_other,Macrophage,Col1a1,Cd93,1.4458528412954715e-05,3.3986623785556408e-06,-1.1059866034399075e-05
Tenocyte,Tenocyte,Col1a2,Cd44,1.47758876436456e-05,3.725532876024467e-05,2.247944111659907e-05
Macrophage,Tenocyte,Apoe,Sdc2,1.4894529882461304e-05,9.967221260755663e-05,8.477768272509533e-05
T-FAP,Tenogenic-progenitor,Col1a2,Cd44,1.5097845584716311e-05,2.3372828820495338e-05,8.274983235779027e-06
T-FAP,Macrophage,Vim,Cd44,1.529970283690056e-05,0.00010894614656685799,9.364644372995742e-05
Stromal_other,Macrophage,Fn1,Cd44,1.5463802217304756e-05,0.00010251162993121492,8.704782771391017e-05
Stromal,Tenogenic-progenitor,Col1a1,Cd44,1.5534332986122102e-05,2.1980271854939055e-05,6.4459388688169535e-06
Tenogenic-progenitor,Macrophage,Vim,Cd44,1.5546288994145112e-05,0.00010540420580478204,8.985791681063692e-05
TSPC,T-FAP,Vim,Cd44,1.5795503802524818e-05,0.00030508903574767834,0.00028929353194515354
Tenogenic-progenitor,Tenocyte,Col1a2,Cd44,1.6432319267616953e-05,5.083551862399679e-05,3.4403199356379836e-05
